pressure_psi,nozzle_diam_m,water_mass_kg,cd,dt_s,t_burnout_s,apogee_m,range_m,vx_end_m_s,vy_end_m_s,max_thrust_N
30.0,0.010,0.5,0.00,0.0010,0.3730,4.04,19.98,10.893,-8.903,48.7
30.0,0.010,0.5,0.60,0.0010,0.6220,2.33,15.04,10.414,-6.763,27.9
30.0,0.010,1.0,0.00,0.0010,1.1610,1.87,16.11,11.720,-6.055,48.7
30.0,0.010,1.0,0.60,0.0010,NaN,0.06,1.98,5.647,-0.583,27.9
30.0,0.010,1.5,0.00,0.0010,NaN,0.05,0.71,2.987,-0.731,48.7
30.0,0.010,1.5,0.60,0.0010,NaN,0.00,0.00,0.182,-0.014,27.9
30.0,0.015,0.5,0.00,0.0010,0.1660,5.17,22.45,10.909,-10.074,109.7
30.0,0.015,0.5,0.60,0.0010,0.2770,4.12,19.25,10.436,-8.998,62.9
30.0,0.015,1.0,0.00,0.0010,0.5160,4.73,23.25,11.726,-9.630,109.7
30.0,0.015,1.0,0.60,0.0010,0.8600,2.76,17.56,11.201,-7.359,62.9
30.0,0.015,1.5,0.00,0.0010,NaN,0.34,2.05,3.752,-2.595,109.7
30.0,0.015,1.5,0.60,0.0010,NaN,0.11,1.15,3.426,-1.312,62.9
30.0,0.021,0.5,0.00,0.0010,0.0850,5.65,23.53,10.951,-10.533,214.9
30.0,0.021,0.5,0.60,0.0010,0.1410,4.80,20.64,10.413,-9.707,123.2
30.0,0.021,1.0,0.00,0.0010,0.2630,5.85,25.68,11.731,-10.714,214.9
30.0,0.021,1.0,0.60,0.0010,0.4390,4.55,21.76,11.209,-9.451,123.2
30.0,0.021,1.5,0.00,0.0010,NaN,0.53,2.49,3.760,-3.224,214.9
30.0,0.021,1.5,0.60,0.0010,NaN,0.35,1.97,3.587,-2.623,123.2
45.0,0.010,0.5,0.00,0.0010,0.2980,7.52,34.07,13.704,-12.145,73.1
45.0,0.010,0.5,0.60,0.0010,0.4960,5.46,27.98,13.077,-10.350,41.9
45.0,0.010,1.0,0.00,0.0010,0.8090,7.67,41.43,16.239,-12.269,73.1
45.0,0.010,1.0,0.60,0.0010,1.3490,3.08,27.67,15.521,-7.778,41.9
45.0,0.010,1.5,0.00,0.0010,NaN,0.44,4.03,6.238,-2.650,73.1
45.0,0.010,1.5,0.60,0.0010,NaN,0.04,0.79,3.391,-0.552,41.9
45.0,0.015,0.5,0.00,0.0010,0.1320,8.60,36.19,13.655,-12.989,164.5
45.0,0.015,0.5,0.60,0.0010,0.2210,7.31,32.08,13.111,-11.973,94.3
45.0,0.015,1.0,0.00,0.0010,0.3600,10.91,48.65,16.262,-14.630,164.5
45.0,0.015,1.0,0.60,0.0010,0.5990,8.19,40.50,15.514,-12.670,94.3
45.0,0.015,1.5,0.00,0.0010,NaN,1.30,6.73,6.434,-5.053,164.5
45.0,0.015,1.5,0.60,0.0010,NaN,0.67,4.77,6.143,-3.529,94.3
45.0,0.021,0.5,0.00,0.0010,0.0680,9.23,37.85,13.794,-13.458,322.4
45.0,0.021,0.5,0.60,0.0010,0.1130,8.06,33.70,13.140,-12.572,184.8
45.0,0.021,1.0,0.00,0.0010,0.1840,12.22,51.49,16.297,-15.488,322.4
45.0,0.021,1.0,0.60,0.0010,0.3060,10.22,44.95,15.537,-14.158,184.8
45.0,0.021,1.5,0.00,0.0010,NaN,1.70,7.63,6.446,-5.787,322.4
45.0,0.021,1.5,0.60,0.0010,NaN,1.27,6.33,6.150,-4.994,184.8
60.0,0.010,0.5,0.00,0.0010,0.2550,10.98,47.98,16.000,-14.676,97.5
60.0,0.010,0.5,0.60,0.0010,0.4240,8.58,40.61,15.251,-12.972,55.9
60.0,0.010,1.0,0.00,0.0010,0.6630,13.77,66.55,19.697,-16.434,97.5
60.0,0.010,1.0,0.60,0.0010,1.1050,8.49,51.31,18.819,-12.907,55.9
60.0,0.010,1.5,0.00,0.0010,NaN,1.47,10.92,9.464,-5.172,97.5
60.0,0.010,1.5,0.60,0.0010,NaN,0.30,4.01,7.000,-1.868,55.9
60.0,0.015,0.5,0.00,0.0010,0.1130,12.05,50.02,15.948,-15.376,219.3
60.0,0.015,0.5,0.60,0.0010,0.1890,10.46,44.74,15.298,-14.328,125.7
60.0,0.015,1.0,0.00,0.0010,0.2950,17.16,73.89,19.725,-18.348,219.3
60.0,0.015,1.0,0.60,0.0010,0.4910,13.80,63.44,18.820,-16.457,125.7
60.0,0.015,1.5,0.00,0.0010,NaN,3.15,15.34,9.483,-7.861,219.3
60.0,0.015,1.5,0.60,0.0010,NaN,1.91,11.73,9.056,-6.110,125.7
60.0,0.021,0.5,0.00,0.0010,0.0580,12.65,51.56,16.047,-15.757,429.9
60.0,0.021,0.5,0.60,0.0010,0.0970,11.32,46.79,15.394,-14.900,246.4
60.0,0.021,1.0,0.00,0.0010,0.1500,18.39,76.23,19.681,-18.990,429.9
60.0,0.021,1.0,0.60,0.0010,0.2510,15.95,68.11,18.860,-17.692,246.4
60.0,0.021,1.5,0.00,0.0010,NaN,3.87,16.90,9.497,-8.710,429.9
60.0,0.021,1.5,0.60,0.0010,NaN,3.03,14.33,9.064,-7.701,246.4
